timestamp,datetime,humidity,pressure,pump_time,soil_moisture,temperature
839409407,2026-08-07 11:16:47,50.38,1017.36,0.00,120.12,19.77
839410307,2026-08-07 11:31:47,49.98,1017.23,0.00,120.56,19.84
839411207,2026-08-07 11:46:47,50.46,1017.20,0.00,119.53,19.91
839412107,2026-08-07 12:01:47,45.87,1017.04,0.00,118.38,21.91
839413007,2026-08-07 12:16:47,46.20,1017.01,0.00,118.66,21.23
839413907,2026-08-07 12:31:47,47.38,1016.93,0.00,118.66,20.67
839414807,2026-08-07 12:46:47,48.38,1017.01,0.00,118.66,20.43
839415707,2026-08-07 13:01:47,48.20,1017.08,0.00,119.09,20.27
839416607,2026-08-07 13:16:47,45.56,1016.95,0.00,118.66,20.29
839417507,2026-08-07 13:31:47,44.53,1016.81,0.00,117.81,20.60
839418407,2026-08-07 13:46:47,45.01,1016.65,0.00,117.67,21.25
839419307,2026-08-07 14:01:47,42.69,1016.62,0.00,117.11,21.82
839420207,2026-08-07 14:16:47,42.83,1016.48,0.00,116.98,22.22
839421107,2026-08-07 14:31:47,43.23,1016.47,0.00,117.11,21.79
839422007,2026-08-07 14:46:47,43.37,1016.56,0.00,118.38,21.59
839422907,2026-08-07 15:01:47,44.37,1016.44,0.00,116.70,21.56
839423807,2026-08-07 15:16:47,43.94,1016.30,0.00,117.11,21.54
839424707,2026-08-07 15:31:47,44.39,1016.24,0.00,116.84,21.67
839425607,2026-08-07 15:46:47,42.78,1016.20,0.00,116.02,21.95
839426507,2026-08-07 16:01:47,42.66,1016.12,0.00,116.43,22.07
839427407,2026-08-07 16:16:47,42.59,1016.15,0.00,115.62,22.05
839428307,2026-08-07 16:31:47,42.84,1016.22,0.00,116.43,21.82
839429207,2026-08-07 16:46:47,44.29,1016.26,0.00,116.02,21.49
839430107,2026-08-07 17:01:47,44.76,1016.21,0.00,115.75,21.21
839431007,2026-08-07 17:16:47,45.27,1016.33,0.00,116.29,21.15
839431907,2026-08-07 17:31:47,44.85,1016.36,0.00,115.89,21.28
839432807,2026-08-07 17:46:47,44.80,1016.27,0.00,115.89,21.26
839433707,2026-08-07 18:01:47,45.30,1016.30,0.00,116.29,21.26
839434607,2026-08-07 18:16:47,45.99,1016.19,0.00,116.02,21.11
839435507,2026-08-07 18:31:47,47.70,1016.23,0.00,116.02,20.87
839436407,2026-08-07 18:46:47,49.71,1016.18,0.00,116.29,20.66
839437307,2026-08-07 19:01:47,50.37,1016.24,0.00,116.16,20.55
839438207,2026-08-07 19:16:47,50.93,1016.13,0.00,116.29,20.49
839439107,2026-08-07 19:31:47,50.11,1015.99,0.00,116.16,20.49
839440007,2026-08-07 19:46:47,49.29,1016.01,0.00,115.89,20.38
839440907,2026-08-07 20:01:47,47.82,1016.12,0.00,116.43,20.28
839441807,2026-08-07 20:16:47,47.18,1016.10,0.00,115.89,20.15
839442707,2026-08-07 20:31:47,46.33,1015.99,0.00,116.29,20.15
839443607,2026-08-07 20:46:47,48.59,1016.10,0.00,115.75,20.02
839444507,2026-08-07 21:01:47,51.62,1016.12,0.00,116.43,19.81
839445407,2026-08-07 21:16:47,52.31,1016.30,0.00,115.75,19.72
839446307,2026-08-07 21:31:47,52.65,1016.42,0.00,116.16,19.59
839447207,2026-08-07 21:46:47,53.64,1016.45,0.00,116.29,19.41
839448107,2026-08-07 22:01:47,54.83,1016.54,0.00,116.43,19.13
839449007,2026-08-07 22:16:47,55.77,1016.57,0.00,116.56,18.77
839449907,2026-08-07 22:31:47,56.46,1016.64,0.00,116.29,18.54
